time_ps,cv1_distance_A
1.535999965667724609e+01,3.419081687927246094e+00
1.539999961853027344e+01,3.415030241012573242e+00
1.543999958038330078e+01,3.449006080627441406e+00
1.547999954223632812e+01,3.411055803298950195e+00
1.551999950408935547e+01,3.449369192123413086e+00
1.555999946594238281e+01,3.442955493927001953e+00
1.559999942779541016e+01,3.420875787734985352e+00
1.563999938964843750e+01,3.398594141006469727e+00
1.567999935150146484e+01,3.526609897613525391e+00
1.571999931335449219e+01,3.438187837600708008e+00
1.575999927520751953e+01,3.447962760925292969e+00
1.579999923706054688e+01,3.374583721160888672e+00
1.583999919891357422e+01,3.481915950775146484e+00
1.588000011444091797e+01,3.356963634490966797e+00
1.592000007629394531e+01,3.450072050094604492e+00
1.596000003814697266e+01,3.421818256378173828e+00
1.600000000000000000e+01,3.474806070327758789e+00
1.603999900817871094e+01,3.405552148818969727e+00
1.607999992370605469e+01,3.431946516036987305e+00
1.611999893188476562e+01,3.477881431579589844e+00
1.615999984741210938e+01,3.477568864822387695e+00
1.619999885559082031e+01,3.400533437728881836e+00
1.623999977111816406e+01,3.496862173080444336e+00
1.627999877929687500e+01,3.386116981506347656e+00
1.631999969482421875e+01,3.603697776794433594e+00
1.635999870300292969e+01,3.336168289184570312e+00
1.639999961853027344e+01,3.442547321319580078e+00
1.644000053405761719e+01,3.511270284652709961e+00
1.647999954223632812e+01,3.527887582778930664e+00
1.652000045776367188e+01,3.426986217498779297e+00
1.655999946594238281e+01,3.453120231628417969e+00
1.660000038146972656e+01,3.361953020095825195e+00
1.663999938964843750e+01,3.530738353729248047e+00
1.668000030517578125e+01,3.387678623199462891e+00
1.671999931335449219e+01,3.533624172210693359e+00
1.676000022888183594e+01,3.419621944427490234e+00
1.679999923706054688e+01,3.507217645645141602e+00
1.684000015258789062e+01,3.340759754180908203e+00
1.687999916076660156e+01,3.520475864410400391e+00
1.692000007629394531e+01,3.350233078002929688e+00
1.695999908447265625e+01,3.482699394226074219e+00
1.700000000000000000e+01,3.459292888641357422e+00
1.703999900817871094e+01,3.429484844207763672e+00
1.707999992370605469e+01,3.406650066375732422e+00
1.711999893188476562e+01,3.447638273239135742e+00
1.715999984741210938e+01,3.471341848373413086e+00
1.719999885559082031e+01,3.430541992187500000e+00
1.723999977111816406e+01,3.415956974029541016e+00
1.727999877929687500e+01,3.477450132369995117e+00
1.731999969482421875e+01,3.497967481613159180e+00
1.735999870300292969e+01,3.491430759429931641e+00
1.739999961853027344e+01,3.425516128540039062e+00
1.744000053405761719e+01,3.340252161026000977e+00
1.747999954223632812e+01,3.424229383468627930e+00
1.752000045776367188e+01,3.478200912475585938e+00
1.755999946594238281e+01,3.421057462692260742e+00
1.760000038146972656e+01,3.523475408554077148e+00
1.763999938964843750e+01,3.359116077423095703e+00
1.768000030517578125e+01,3.564164161682128906e+00
1.771999931335449219e+01,3.513487339019775391e+00
1.776000022888183594e+01,3.438783645629882812e+00
1.779999923706054688e+01,3.540593624114990234e+00
1.784000015258789062e+01,3.455393314361572266e+00
1.787999916076660156e+01,3.451104402542114258e+00
1.792000007629394531e+01,3.409854412078857422e+00
1.795999908447265625e+01,3.454978942871093750e+00
1.800000000000000000e+01,3.368221282958984375e+00
1.803999900817871094e+01,3.462214231491088867e+00
1.807999992370605469e+01,3.547371864318847656e+00
1.811999893188476562e+01,3.372662544250488281e+00
1.815999984741210938e+01,3.560114145278930664e+00
1.819999885559082031e+01,3.325042724609375000e+00
1.823999977111816406e+01,3.451780080795288086e+00
1.827999877929687500e+01,3.453725099563598633e+00
1.831999969482421875e+01,3.449032068252563477e+00
1.835999870300292969e+01,3.435534954071044922e+00
1.839999961853027344e+01,3.514068126678466797e+00
1.844000053405761719e+01,3.446697711944580078e+00
1.847999954223632812e+01,3.419996023178100586e+00
1.852000045776367188e+01,3.438637018203735352e+00
1.855999946594238281e+01,3.485851287841796875e+00
1.860000038146972656e+01,3.462826967239379883e+00
1.863999938964843750e+01,3.478421688079833984e+00
1.868000030517578125e+01,3.506226539611816406e+00
1.871999931335449219e+01,3.378100633621215820e+00
1.876000022888183594e+01,3.433701753616333008e+00
1.879999923706054688e+01,3.455153465270996094e+00
1.884000015258789062e+01,3.424253463745117188e+00
1.887999916076660156e+01,3.527895689010620117e+00
1.892000007629394531e+01,3.393363714218139648e+00
1.895999908447265625e+01,3.488149404525756836e+00
1.900000000000000000e+01,3.416274309158325195e+00
1.903999900817871094e+01,3.454452276229858398e+00
1.907999992370605469e+01,3.476255655288696289e+00
1.911999893188476562e+01,3.545013427734375000e+00
1.915999984741210938e+01,3.430140972137451172e+00
